1. Sans collier;she is not wearing any necklace and her neck and décolletage are bare
2. Chaîne or fine;she wears a delicate thin gold chain necklace about 42cm long that sits at her collarbone
3. Chaîne or pendentif rond;she wears a thin gold chain with a small round pendant that is minimalist and understated
4. Collier perle unique;she wears a single freshwater pearl centered on a delicate gold chain at her throat
5. Chaîne argent fine;she wears a delicate thin silver chain necklace about 42cm long with cool-toned minimalism
6. Collier ras-de-cou or;she wears a thin gold choker necklace that sits snugly at the base of her throat with modern architectural style
7. Sautoir or long;she wears a long gold chain necklace about 70cm that can be doubled as a versatile layering piece
8. Collier médaille;she wears a gold chain with a small medallion pendant giving a vintage-inspired personal talisman feel
9. Collier superposé double;she wears two layered thin gold chains at different lengths of 40cm and 50cm for effortless styling
10. Collier perles fines;she wears a delicate strand of small freshwater pearls about 5mm each giving a classic timeless look
11. Collier initiale;she wears a thin gold chain with a small letter pendant giving a personalized sentimental touch
12. Chaîne maille plate;she wears a flat link gold chain with subtle texture and medium weight
13. Collier diamant solitaire;she wears a single small diamond on an invisible thread necklace that appears to float at her throat
14. Collier coquillage;she wears a small natural shell pendant on a gold chain giving a beach-inspired bohemian feel
15. Collier croix fine;she wears a small delicate gold cross pendant on a thin chain with understated classic style
