1. Sans foulard;she is not wearing any scarf and her neck is bare or adorned only with jewelry
2. Foulard soie noir cou;she wears a black silk scarf tied at her neck as an elegant accent with dark classic edge
3. Foulard soie rouge sang;she wears a blood red silk scarf as a dramatic color accent against black tied loosely
4. Étole fourrure noire;she wears a black faux fur stole draped over her shoulders giving old Hollywood dramatic glamour warmth
5. Étole fourrure blanche;she wears a white faux fur wrap as contrast against her dark outfit giving snow queen luxurious aesthetic
6. Boa plumes noires;she wears a black feather boa giving burlesque theatrical glamorous playful seduction
7. Écharpe soie longue;she wears a long flowing black silk scarf with dramatic trailing movement and elegance
8. Foulard tête pin-up;she wears a silk scarf tied as a headwrap in black giving vintage pin-up retro fetish style
9. Cravate soie noire;she wears a black silk tie as an accessory borrowed from menswear giving androgynous power
10. Noeud papillon;she wears a black silk bow tie as a tuxedo accessory on her bare neck giving playboy bunny subversive reference
11. Foulard latex;she wears a shiny black latex scarf or necktie with glossy material as a fetish fashion accent
12. Cache-cou cuir;she wears a black leather neck warmer or gaiter giving motorcycle functional fetish aesthetic
