1. Poignet nu;her left wrist is bare with no watch or bracelet and her skin is visible
2. Montre or luxe;she wears a luxury gold watch with an elegant round face and black dial on a crocodile strap as a statement timepiece
3. Montre noire minimale;she wears a black minimalist watch with a matte black dial and case on a black leather strap in stealth luxury
4. Bracelet manchette or;she wears a wide gold cuff bracelet as a sculptural statement giving powerful feminine armor-like presence
5. Bracelet manchette argent;she wears a wide silver cuff bracelet with hammered texture giving warrior bold aesthetic
6. Bracelet manchette cuir noir;she wears a wide black leather cuff bracelet in wrap style with buckle closure as a fetish classic
7. Bracelet cuir clouté;she wears a black leather bracelet with silver studs in punk rock rebellious edge
8. Bracelet chaîne lourde or;she wears a heavy gold chain bracelet with chunky links in bold luxury
9. Bracelet chaîne lourde argent;she wears a heavy silver chain bracelet with industrial weight giving powerful cool presence
10. Bracelet menotte;she wears a handcuff-style bracelet in silver with functional-looking clasp as fetish jewelry symbolism
11. Bracelet serpent;she wears a coiled snake bracelet wrapping around her wrist in gold or silver giving ancient seductive symbolism
12. Bracelet pointes argent;she wears a silver bracelet with small spikes or studs in punk aggressive feminine edge
13. Bracelet cuir multi-rangs;she wears multiple thin black leather straps wrapped around her wrist in layered fetish aesthetic
14. Bracelet chaîne fine superposés;she wears multiple thin chains stacked on her wrist in gold creating layered delicate luxury
15. Bracelet perles noires;she wears a black pearl bracelet with glossy dark spheres giving gothic elegant refinement
