1. Sans chapeau;she is not wearing any hat and her hairstyle is fully visible and unobstructed
2. Béret cuir noir;she wears a black leather béret tilted dramatically combining Parisian edge with fetish sophisticated rebellion
3. Fedora noir satin;she wears a black satin fedora with a grosgrain ribbon band giving mysterious noir aesthetic with a shadowed face
4. Casquette cuir noir;she wears a black leather military-style cap with a structured peak giving authoritarian uniform elegance
5. Chapeau voilette;she wears a black cocktail hat with a face veil of netting over her eyes giving mysterious mourning glamour
6. Haut-de-forme mini;she wears a miniature top hat fascinator tilted and pinned giving theatrical burlesque playful darkness
7. Bandeau velours noir;she wears a wide black velvet headband pushing her hair back severely like a regal dark gothic crown
8. Couronne fine métal;she wears a thin metal crown or tiara giving a dark queen fantasy royalty powerful feminine aesthetic
9. Serre-tête oreilles chat;she wears a black cat ear headband giving playful fetish cute but dark kitten aesthetic
10. Capuche cuir;she wears a black leather hood attached to her garment giving mysterious ritualistic coverage
11. Casquette vinyle;she wears a shiny black vinyl cap with a glossy finish catching light in modern fetish streetwear style
12. Bonnet cuir;she wears a black leather beanie in unexpected material giving edgy alternative winter style
13. Bandeau chaîne;she wears a chain headpiece across her forehead giving medieval fantasy warrior queen aesthetic
14. Voile noir transparent;she wears a sheer black veil over her face giving bridal darkness mysterious gothic ceremony romance
15. Masque loup velours;she wears a black velvet eye mask in masquerade style hiding her identity with Venetian mystery
