1. Sans sac;she is not carrying any bag and her hands are free
2. Sac cabas noir;she carries a black leather tote bag with a large rectangular shape and structured design with gold hardware
3. Sac cabas beige;she carries a beige leather tote bag that is softly structured and fits a laptop for daily sophistication
4. Sac bandoulière noir;she carries a black leather crossbody bag at medium size with an adjustable strap for hands-free practicality
5. Sac bandoulière marron;she carries a tan brown leather crossbody bag in saddle style with brass hardware
6. Pochette noire;she carries a black leather clutch in envelope style held in her hand for evening
7. Pochette nude;she carries a nude leather clutch with minimal design for elegant small events
8. Mini sac noir;she carries a small black leather shoulder bag with a gold chain strap in compact elegance
9. Sac seau noir;she carries a black leather bucket bag with a drawstring closure and relaxed bohemian shape
10. Sac à dos cuir noir;she carries a black leather backpack with minimal design and dual straps for urban practical chic
11. Sac à dos toile;she carries a canvas backpack in navy that is casual and laptop-compatible
12. Panier osier;she carries a woven straw basket bag with leather handles in French market summer style
13. Sac shopping toile;she carries a cotton canvas tote bag in natural with a printed logo for casual eco-friendly everyday use
14. Sac de sport noir;she carries a black gym duffel bag in nylon with a shoulder strap and compartments
15. Sac ceinture noir;she wears a black leather belt bag at her waist for hands-free modern minimal festival style
16. Sac baguette;she carries a small structured shoulder bag with a horizontal shape and short strap in 90s revival chic
17. Pochette enveloppe;she carries an oversized envelope clutch in grey leather in portfolio style for professional meetings
18. Sac hobo noir;she carries a black leather hobo bag with a slouchy crescent shape in relaxed bohemian elegance
19. Cabas plage;she carries a large straw beach tote that is oversized with room for a towel and book
20. Sac voyage cuir;she carries a tan leather weekender bag in duffle style with brass hardware for short trips
